,country,alcconsumption,incomeperperson,suicideper100th,employrate,urbanrate
185,Switzerland,11.41,37662.75125,13.23981,64.30000305,73.48
186,Syria,1.49,1525.780116,0.5235275629999999,44.79999924,54.22
188,Tajikistan,3.39,279.1804526,2.648980856,54.59999847,26.46
189,Tanzania,7.86,456.38571169999994,12.41118145,78.19999695,25.52
190,Thailand,7.08,2712.517199,9.847459792999999,72.0,33.32
191,Timor-Leste,0.74,369.5729537,9.633114815,67.30000305,27.3
192,Togo,1.92,285.2244493,6.369887829,63.90000153,42.0
193,Tonga,3.92,2025.282665,4.527851582,,24.78
194,Trinidad and Tobago,6.16,10480.8172,14.54716682,61.5,13.22
195,Tunisia,1.05,3164.927693,3.146814108,41.59999847,66.5
196,Turkey,3.02,5348.597192,3.56332469,42.79999924,68.68
197,Turkmenistan,5.0,2062.125152,12.21676922,58.5,48.62
198,Tuvalu,2.14,1714.9428899999998,7.934811592000001,,
199,Uganda,16.4,377.4211133,12.28912163,83.19999695,12.98
200,Ukraine,17.47,1036.830725,18.95457,54.40000153,67.98
201,United Arab Emirates,0.52,21087.394119999997,1.392950654,75.19999695,77.88
202,United Kingdom,13.24,28033.48928,6.014659,59.29999924,89.94
203,United States,9.7,37491.17952,9.927033,62.29999924,81.7
204,Uruguay,8.99,9106.327234,14.537270000000001,57.5,92.3
205,Uzbekistan,3.61,952.8272607999999,5.2137199999999995,57.5,36.82
206,Vanuatu,0.96,1543.956457,4.983421803,,24.76
207,Venezuela,7.6,5528.363114,4.119619999999999,59.90000153,93.32
208,Vietnam,3.91,722.8075587999999,11.65332222,71.0,27.84
210,"Yemen, Rep.",0.2,610.3573673,6.265789032000001,39.0,30.64
211,Zambia,3.56,432.226337,12.01903629,61.0,35.42
212,Zimbabwe,4.96,320.77188989999996,13.90526676,66.80000305,37.34
